Movie Name,Year,Director,Link,Rating
The Deer Hunter,1978,Michael Cimino ,imdb.com/title/tt0077416/,8.1
Salinui chueok,2003,Bong Joon Ho ,imdb.com/title/tt0353969/,8.1
Relatos salvajes,2014,Damián Szifron ,imdb.com/title/tt3011894/,8.1
Klaus,2019,Sergio Pablos ,imdb.com/title/tt4729430/,8.1
Eskiya,1996,Yavuz Turgul ,imdb.com/title/tt0116231/,8.1
Andhadhun,2018,Sriram Raghavan ,imdb.com/title/tt8108198/,8.1
Mary and Max,2009,Adam Elliot ,imdb.com/title/tt0978762/,8.1
The Big Lebowski,1998,Joel Coen ,imdb.com/title/tt0118715/,8.1
In the Name of the Father,1993,Jim Sheridan ,imdb.com/title/tt0107207/,8.1
Gone Girl,2014,David Fincher ,imdb.com/title/tt2267998/,8.1
Hacksaw Ridge,2016,Mel Gibson ,imdb.com/title/tt2119532/,8.1
The Grand Budapest Hotel,2014,Wes Anderson ,imdb.com/title/tt2278388/,8.1
Persona,1966,Ingmar Bergman ,imdb.com/title/tt0060827/,8.1
Before Sunrise,1995,Richard Linklater ,imdb.com/title/tt0112471/,8.1
Catch Me If You Can,2002,Steven Spielberg ,imdb.com/title/tt0264464/,8.1
To Be or Not to Be,1942,Ernst Lubitsch ,imdb.com/title/tt0035446/,8.1
Ford v. Ferrari,2019,James Mangold ,imdb.com/title/tt1950186/,8.1
The General,1926,Clyde Bruckman ,imdb.com/title/tt0017925/,8.1
How to Train Your Dragon,2010,Dean DeBlois ,imdb.com/title/tt0892769/,8.1
Mr. Smith Goes to Washington,1939,Frank Capra ,imdb.com/title/tt0031679/,8.1
Sherlock Jr.,1924,Buster Keaton ,imdb.com/title/tt0015324/,8.1
Prisoners,2013,Denis Villeneuve ,imdb.com/title/tt1392214/,8.1
12 Years a Slave,2013,Steve McQueen ,imdb.com/title/tt2024544/,8.1
Mad Max: Fury Road,2015,George Miller ,imdb.com/title/tt1392190/,8.1
Barry Lyndon,1975,Stanley Kubrick ,imdb.com/title/tt0072684/,8.1
Cool Hand Luke,1967,Stuart Rosenberg ,imdb.com/title/tt0061512/,8.1
Network,1976,Sidney Lumet ,imdb.com/title/tt0074958/,8.1
Stand by Me,1986,Rob Reiner ,imdb.com/title/tt0092005/,8.1
Le salaire de la peur,1953,Henri-Georges Clouzot ,imdb.com/title/tt0046268/,8.1
Million Dollar Baby,2004,Clint Eastwood ,imdb.com/title/tt0405159/,8.1
